company_id,cluster_name,best_stage,stage_heat,pain_type,impact,urgency
0000046208,C1 標準內銷,A,6,"ERP系統故障, ERP無法登入","MA報價受阻, 客戶續約意願降低",高
0000046304,C1 標準內銷,A,6,,,
0000046498,C1 標準內銷,A,6,"合約簽回延遲, 發票開立延遲, 論述覆蓋不足","合約簽訂, 財務流程, 技術論述",中
0000047034,C1 標準內銷,A,6,"導入困難, 不願換系統, 沒時間, 暫時無法聯繫, 生產問題, 趕訂單, 內部資源緊張","業務推進受阻, 溝通延遲, 決策延遲","低, 中"
0000047080,C1 標準內銷,A,6,過去導入經驗不佳;現有系統功能足夠;使用人數少,對新系統導入持保留態度;暫無導入新系統需求,高
0000047094,C1 標準內銷,A,6,"功能缺失, 預算限制, 產品不適用","銷售機會, 客戶流失, 客戶關係",高
0000047498,C1 標準內銷,A,6,"系統老舊,人員缺席","專案進度延遲,資安風險,財務結算困難",高
0000047962,C1 標準內銷,A,6,暫不考慮重新評估,升級硬體和軟體,低
0000004899,C2 大型外商,A,6,"資料不一致, 系統限制, 內部流程瓶頸","營運效率, 客戶服務, 財務結算",高
0000029412,C2 大型外商,A,6,"人工重複確認合格單, 品管手工備註, Excel紀錄, 訂單客製化管理複雜","效率低下, 資訊不一致, 錯誤風險, 資源耗費",高
0000029501,C2 大型外商,A,6,內部流程/系統適應問題,"薪資計算, 業務溝通, 系統功能",高
0000032304,C2 大型外商,A,6,"效益不明, 成本過高","專案戰敗, BPM升級受阻",高
0000042884,C2 大型外商,A,6,業務模式不符,"潛在客戶流失, 資訊獲取困難",低
0000043601,C2 大型外商,A,6,專案進度與報價問題,高階決策與專案時程,高
0000045241,C2 大型外商,A,6,"系統升級需求, 權限控管與內稽內控, 程式碼客製與支援問題","系統可用性與安全性, 內部流程與合規性, 開發成本與時程",高
0000048529,C2 大型外商,A,6,Operational Obstacle,"Operational Efficiency, Financial Flow, Compliance",高
0000000048,C4 品牌驅動,A,6,客戶無法參加活動; 內部尚未討論是否進行版更; 未簽立MA導致無法獲得BI語意層相關課程,客戶無法直接了解WF版更內容; 潛在商機延遲或流失; 客戶無法獲得所需課程,中
0000000110,C4 品牌驅動,A,6,報表資料整理耗時且效率低落,"員工時間浪費, 效率低下, 資料準確性/即時性問題",高
0000000117,C4 品牌驅動,A,6,財務與合約流程問題,營收與專案進度延遲,高
0000001605,C4 品牌驅動,A,6,微軟授權問題,客戶關係,None
0000003291,C4 品牌驅動,A,6,時程衝突; 合約到期; 既有廠商,業務拜訪延遲; 合約續簽; 新方案導入受阻,高
0000003433,C4 品牌驅動,A,6,安裝問題/移機問題,專案進度/服務交付,中
0000003786,C4 品牌驅動,A,6,技術問題,營運效率,中
0000004116,C4 品牌驅動,A,6,方案不適用/模組不適合導入,專案進度/客戶需求,高
0000005162,C4 品牌驅動,A,6,MA即將到期,續約需求,高
0000013030,C4 品牌驅動,A,6,"採購流程限制, 缺乏工程業AI解決方案, 考勤系統問題","業務機會受阻, 內部作業效率, 決策流程延遲",高
0000017417,C4 品牌驅動,A,6,ERP系統故障,業務運作停擺,高
0000022124,C4 品牌驅動,A,6,系統功能問題,客戶營運效率,None
0000029146,C4 品牌驅動,A,6,客戶無興趣/難以聯繫,潛在商機流失/溝通延遲,中
0000029149,C4 品牌驅動,A,6,,,
0000029429,C4 品牌驅動,A,6,ERP問題協助,營運效率,中
0000029455,C4 品牌驅動,A,6,"營運狀況問題, 預算問題, 缺乏MIS系統","客戶流失, 合約簽核受阻",高
0000032181,C4 品牌驅動,A,6,客戶對補助案規則不清楚；客戶不熟悉產品設定,影響客戶申請補助案進度；客戶對產品信任度；技術支援成本,中
0000039226,C4 品牌驅動,A,6,客製問題,服務品質,高
0000045792,C4 品牌驅動,A,6,需求不符/流程阻礙,銷售進度受阻,中
0000047121,C4 品牌驅動,A,6,"人手不足, 財務不到位",業務拜訪延遲,中
0000048068,C4 品牌驅動,A,6,"簽核流程延遲, 主管不配合, 會議衝突, 資訊不對稱","合約進度, 文件用印, 活動參與, 人力資源/專案進度",中
0000048413,C4 品牌驅動,A,6,"內部混亂, 財務長保守, 團隊未建立, 主機損壞","系統導入延遲, 業務中斷",高
0000000109,C5 家族外銷,A,6,無法聯繫到關鍵決策者/主管,阻礙業務推進/初訪安排,中
0000000220,C5 家族外銷,A,6,"數據健診需求, 系統郵件錯誤, 現有系統適用性不足","經營決策, 內部溝通, 作業效率",高
0000002188,C5 家族外銷,A,6,"MA續簽保留態度, 系統問題 (報表批次變單次), 人員變動頻繁, 手開發票效率問題 (潛在電子發票需求)","影響MA續簽, 影響系統功能/效率, 影響客戶關係, 影響發票處理效率",中
0000002277,C5 家族外銷,A,6,"服務態度不佳, 軟硬體責任不清, 報價過高, 工程延期","客戶關係, 續約意願, 專案進度",高
0000002867,C5 家族外銷,A,6,"人員異動問題, 內部流程與預期落差, 關鍵決策者不在","無法顧到倉庫評估物流, 專案延遲, 專案推進受阻",高
0000002867,C5 家族外銷,A,6,"人員異動問題, 內部流程與預期落差, 關鍵決策者不在","無法顧到倉庫評估物流, 專案延遲, 專案推進受阻",高
0000003760,C5 家族外銷,A,6,系統導入暫緩,維持excel現狀，效率提升受阻,低
0000004315,C5 家族外銷,A,6,HR單位現況問題; 年度維護合約事項,HRD及人資決策評估; 合約簽署,高
0000005309,C5 家族外銷,A,6,"程式修改問題, 競爭者比較",銷售進度延遲,None
0000005797,C5 家族外銷,A,6,"價格過高, 競爭對手推薦, 老闆決策風險","呈報困難, 專案選擇, 潛在訂單流失",高
0000005821,C5 家族外銷,A,6,老臣阻撓,導入計畫暫緩，商機停滯,高
0000006244,C5 家族外銷,A,6,文件處理與協調,財務與合約流程,中
0000007447,C5 家族外銷,A,6,SFT問題,系統運作,None
0000008152,C5 家族外銷,A,6,"系統無法立即使用, 庫存盤點耗時, 客戶不願為折扣草率決定, 客戶內部尚未討論","業務推進受阻, 客戶不滿, 簽約延遲",高
0000008304,C5 家族外銷,A,6,列印問題; 聯繫阻礙,客戶服務; 業務進度延遲,高
0000009130,C5 家族外銷,A,6,客戶已無資安需求,訂單未成交,中
0000009175,C5 家族外銷,A,6,市場不確定性 / 內部決策流程,導入案延期,低
0000009173,C5 家族外銷,A,6,"系統問題, 客服流程問題, 續約問題",客戶滿意度,高
0000011640,C5 家族外銷,A,6,排程人工作業；生產流程未系統化,內部流程效率；生產管理,None
0000012701,C5 家族外銷,A,6,現有系統/關係阻礙; 決策流程複雜,短期內無法轉換客戶; 資訊傳遞受阻,低
0000013615,C5 家族外銷,A,6,"系統問題, 出貨問題, 客戶問題","營運效率, 客戶關係",中
0000014679,C5 家族外銷,A,6,"聯絡人不在, 帳務混亂","溝通延遲, 效率低下, 管理困難",中
0000014678,C5 家族外銷,A,6,"系統未啟用, 人員異動, 設備問題","系統效益未發揮, 貨況不明確, 作業流程受阻",高
0000015051,C5 家族外銷,A,6,,,
0000015725,C5 家族外銷,A,6,業務規模小，固定客戶為主，CRM維修管理需求不迫切,潛在CRM導入延後或取消,低
0000015941,C5 家族外銷,A,6,"業務交接無系統查詢客戶資料, CRM與AI結合不足, 業務上手慢, CRM應用問題, 泰國廠管理與供應鏈問題, 關稅影響成本, PDA設備問題","工作效率, 客戶關係管理, CRM導入, 海外設廠成本與管理, 供應鏈穩定性, 設備運作","中, 高"
0000016464,C5 家族外銷,A,6,"營運問題, 地址資訊錯誤, 外部合作阻礙","訪客尋找困難, 活動參與度低",None
0000016471,C5 家族外銷,A,6,"['分機無人接聽', '客戶不清楚ERP廠商身份', '協理固執難溝通', '凌越系統無編碼無法導入', '人工難以追查廠內及委外託工進度']","['導入受阻', '溝通困難', '影響後續訂單交期']",None
0000016715,C5 家族外銷,A,6,"聯繫受阻, 既有解決方案, 缺乏意願","銷售進程受阻, 難以接觸決策者, 市場切入困難",中
0000017641,C5 家族外銷,A,6,,,
0000017712,C5 家族外銷,A,6,客戶已有系統; 優惠時間不足; 價格競爭,失去潛在客戶; 溝通受阻,中
0000017808,C5 家族外銷,A,6,技術問題,營運中斷/銷售進度延遲,高
0000018636,C5 家族外銷,A,6,"既有系統/廠商阻礙, 資訊化意願低, 無更換需求","新系統導入, 生管系統導入, 資訊化",低
0000019644,C5 家族外銷,A,6,缺乏需求,業務推廣,低
0000019903,C5 家族外銷,A,6,客戶無感/忙碌/系統異常,業務推進/系統運作,中
0000020235,C5 家族外銷,A,6,客戶疑慮與技術問題,營收損失、服務中斷與專案導入風險,高
0000021983,C5 家族外銷,A,6,溝通問題; 費用問題; 聯繫困難,銷售機會延遲; 溝通延遲,高
0000023067,C5 家族外銷,A,6,QR Code中文亂碼問題,產品履歷資訊呈現受阻,高
0000024817,C5 家族外銷,A,6,"會計系統缺乏/效率低落, 預算/決策流程阻礙, 現有系統維護到期, 技術安裝問題","營運效率, 採購決策, 系統穩定性",高
0000024995,C5 家族外銷,A,6,產品功能不符,潛在交易失敗,高
0000025585,C5 家族外銷,A,6,"系統老舊, 沒有MA","營運效率降低, 硬體更新受限, 等待時間過長",中
0000026033,C5 家族外銷,A,6,系統運作問題,系統服務中斷,高
0000026842,C5 家族外銷,A,6,"物流問題, PDA問題, 客訴處理, PDA異常問題, 副廠長抱怨, 未結案件","回覆進度延遲, 副廠抱怨, 現場問題, 客戶關係, 營運效率",高
0000027528,C5 家族外銷,A,6,ERP SQL問題; 客戶自行解決問題,業務進度受阻; 服務機會流失,高
0000027768,C5 家族外銷,A,6,客戶對研討會無興趣，但對ISO課程有興趣；ERP系統複雜，同仁不練習，老闆娘不操作，無重啟意願；老闆娘不便見面，拒絕協助，人手不足，僅使用訂單功能,研討會參與度低，ERP導入失敗/使用率低，業務推進受阻，潛在商機流失,高
0000028308,C5 家族外銷,A,6,"人力不足, 時間不足","活動參與受阻, APP評估延遲",中
0000029323,C5 家族外銷,A,6,內部問題與客戶優化需求,處理時間延遲與內部資源協調,中
0000029331,C5 家族外銷,A,6,"系統轉換不適應, 員工學習壓力, 上線時程壓力, 額外費用疑慮, PM人員變動","專案進度, 員工學習曲線, 成本控制, 專案管理, 客戶關係維護",高
0000029362,C5 家族外銷,A,6,營運流程問題,內部運作效率,中
0000029688,C5 家族外銷,A,6,"成本問題, 系統問題",成本,高
0000029701,C5 家族外銷,A,6,系統整合複雜度高/時間衝突,需增加系統部署與成本/錯失活動機會,高
0000029705,C5 家族外銷,A,6,"系統導入失敗經驗, 內部人員安排未定, 高層決策延遲","簽約進度受阻, 內部職能學習與人員配置討論, 決策流程延宕",中
0000029874,C5 家族外銷,A,6,"現有系統功能不足, 內部資訊不透明","系統導入受阻, 內部溝通障礙",中
0000030610,C5 家族外銷,A,6,ACP問題; 資訊管理概念落差; 生產製造管理與物料庫存仍使用Excel,系統評估需求; 兩家子公司系統差異擴大; 資訊管理效率低,高
0000030983,C5 家族外銷,A,6,需求變動,專案進度,中
0000031884,C5 家族外銷,A,6,客戶需求不明確,銷售進程受阻,中
0000032513,C5 家族外銷,A,6,BPM問題沒MA需要處理,費用,中
0000033066,C5 家族外銷,A,6,"合約調整與審核, 付款條件","簽約進度, 款項入帳延遲",中
0000033553,C5 家族外銷,A,6,"資料抓取困難, 政府補助申請受挫","機聯網專案受阻, 智慧化推動困難",高
0000034381,C5 家族外銷,A,6,,,
0000034794,C5 家族外銷,A,6,內部無共識; 溝通落差; 決策者未回應; 無法接觸決策者,系統導入受阻; 決策延遲,中
0000034825,C5 家族外銷,A,6,內部溝通與流程問題,款項支付與財務管理,高
0000034848,C5 家族外銷,A,6,"收費爭議, 軟體安裝問題","客戶關係, 專案進度, 內部流程",高
0000035196,C5 家族外銷,A,6,"客戶服務問題, 產品價值認知不足","客戶滿意度下降, 潛在訂單流失",高
0000038003,C5 家族外銷,A,6,系統版本過舊導致法令更新問題; 顧問輔導需求,法令遵循; 系統功能不符需求; 專案進度; 系統使用效率,高
0000038672,C5 家族外銷,A,6,SAP不符合需求,尋求解決方案,中
0000039245,C5 家族外銷,A,6,"['PDA刷站程式邏輯問題', '客戶需要客製報價及教學', '客戶忙碌無法聯繫']","['生產流程受阻，資料串接問題', '銷售流程，客戶滿意度', '銷售進度受阻']","['高', '中', '低']"
0000039398,C5 家族外銷,A,6,"市場走弱, 客戶需求不明確, 內部營運問題, 系統效益未發揮","營收下滑, 銷售機會流失, 營運效率低落, 系統投資回報不佳",中
0000039568,C5 家族外銷,A,6,費用問題,None,None
0000039647,C5 家族外銷,A,6,"等待外部資料, 內部流程受阻, 外部環境影響","專案進度, 內部決策, 營收/業績",高
0000040345,C5 家族外銷,A,6,,,
0000040489,C5 家族外銷,A,6,"現有系統足夠/無明顯痛點, 紙本作業, 資訊傳遞不暢/決策者不在","營運效率, 客戶關係管理, 專案管理",中
0000040625,C5 家族外銷,A,6,內部轉換意願低落,新系統導入受阻,低
0000040650,C5 家族外銷,A,6,"研討會無感, 客服已能解決問題, 無時間參與研討會, 現有系統運作良好, 決策者非直接聯繫人","潛在客戶開發, 銷售機會, 溝通效率, 銷售流程",低
0000040798,C5 家族外銷,A,6,"不發料問題, 溝通阻礙",資安評鑑延遲,None
0000040972,C5 家族外銷,A,6,"窗口阻礙, 方案認可度低, 競爭壓力","業務推進困難, 訂單流失風險, 溝通效率低",高
0000041354,C5 家族外銷,A,6,"設備故障, 服務態度問題, 溝通障礙, 系統不穩定","設備運作, 客戶滿意度, 客戶溝通, 系統運作",高
0000041559,C5 家族外銷,A,6,"操作流程問題, 系統使用體驗不佳, 導入阻礙, 系統功能異常","客戶服務效率, 系統導入進度, 使用者滿意度, 資料準確性, 業務流程順暢度",中
0000042019,C5 家族外銷,A,6,系統與數據問題,業務運作效率,中
0000042671,C5 家族外銷,A,6,居家辦公導致簽約延遲; 聯絡資訊失效; 業務窗口異動,簽約流程受阻; 溝通受阻; 需重新建立聯繫,高
0000042820,C5 家族外銷,A,6,"['系統功能不足', '人工採購問題', '庫存不準確', '進料未點貨']","['資料無法紀錄', '生產流程問題', '庫存管理混亂', '成本增加']",高
0000044248,C5 家族外銷,A,6,"老闆想法不確定, 稅務轉換問題, 客戶對AI不了解, 預算未編列, 不確定雲端或私有化, 研發設計段改善需求","系統選型, BI產品線導入, AI工具導入, 預算編列, 技術選型",中
0000044957,C5 家族外銷,A,6,,,
0000045193,C5 家族外銷,A,6,"客服服務品質不一, 客服電話難打, 電話聯繫不上, 聯繫方式不便","客戶滿意度, 服務效率, 溝通效率, 問題解決延遲",中
0000045553,C5 家族外銷,A,6,"流程不完善, 資料不準確, 成本核算問題, 應收帳款時間差","財務報表產出受影響, 成本損益不準確, 應收帳款時間差",高
0000047201,C5 家族外銷,A,6,決策延遲,合約簽署,中
0000047795,C5 家族外銷,A,6,,,
0000048253,C5 家族外銷,A,6,客戶不接電話/掛斷/時間不便,溝通受阻/銷售進度延遲,高
0000048857,C5 家族外銷,A,6,預算限制,"產品升級進度受阻, 銷售機會推進受影響",中
0000000017,C6 外資貿易,A,6,內部協作與流程問題,營運效率與專案推進,中
0000002927,C6 外資貿易,A,6,設備故障/老化,業務運作中斷/設備更新需求,高
0000007903,C6 外資貿易,A,6,聯絡困難; 需求不符,銷售進度受阻; 銷售機會流失,中
0000047098,C6 外資貿易,A,6,產品/服務不符需求或規範不適用,銷售機會受阻,中
0000009688,C0 微型內銷,B,5,"需求不符, 資訊不明","無法承接此案, 等待內部確認",高
0000029760,C0 微型內銷,B,5,,,
0000031837,C0 微型內銷,B,5,,,
0000000264,C1 標準內銷,B,5,IT基礎設施與系統規劃問題,營運效率與戰略規劃受阻,中
0000001559,C1 標準內銷,B,5,"關鍵人員資訊壟斷, 潛在需求不明顯","溝通與資訊獲取延遲, 業務推進受阻, 舊系統沿用",中
0000002025,C1 標準內銷,B,5,系統功能不足 (生管),營運流程效率,低
0000003690,C1 標準內銷,B,5,系統整合問題,決策延遲/不確定性,中
0000003931,C1 標準內銷,B,5,"人員異動, 聯繫不暢, 資訊斷層","資訊獲取受阻, 業務推進延遲","低, 中"
0000004013,C1 標準內銷,B,5,"客戶不清楚系統評估事情, 關鍵決策者出差, 預算不足","評估進度受阻, 失去潛在客戶",高
0000007070,C1 標準內銷,B,5,價格過高,採購決策,高
0000008717,C1 標準內銷,B,5,"決策者難以接觸, 現有系統滿足需求, 新技術接受度低","銷售進度延遲, 新業務推廣受阻",中
0000009650,C1 標準內銷,B,5,電腦主機壞掉，資料救援也救不回訂單資料,訂單資料,高
0000010419,C1 標準內銷,B,5,,,
0000011865,C1 標準內銷,B,5,"外部環境限制, 預算限制","投資決策受阻, IT解決方案採購受限, 遠端連線方案選擇受限",高
0000013095,C1 標準內銷,B,5,"預算考量, 人工+EXCEL管理, 計畫停滯, 無負責人","專案停滯, 效率低下, 擴張受阻",低
0000016537,C1 標準內銷,B,5,老闆朋友寫的客製化系統，使用20年，無導入新系統意願,無法導入新系統,低
0000016948,C1 標準內銷,B,5,客戶對現有系統滿意且無評估新系統意願,業務推進困難,低
0000018803,C1 標準內銷,B,5,"系統故障, 疫情影響, 訂單量減少","營運中斷, 費用增加, 營收減少",高
0000020338,C1 標準內銷,B,5,客戶不認同方案,銷售進度受阻,高
0000022699,C1 標準內銷,B,5,系統問題; 服務不佳; 費用考量; 系統重啟; 流程不熟; 資料匯入需求,系統穩定性; 服務品質; 成本預算; 系統可用性; 操作效率; 資料整合,中
0000023761,C1 標準內銷,B,5,客戶對系統需求不熟; 預算考量,客戶只是隨意先問問,低
0000024136,C1 標準內銷,B,5,系統導入不順/太複雜/內部工程師忙碌,影響系統導入進度與效率,中
0000024621,C1 標準內銷,B,5,,,
0000024642,C1 標準內銷,B,5,"客戶忙碌, 已有合作廠商, 客戶行程繁忙","業務推進受阻, 業務機會延後, 業務接觸延遲",低
0000025295,C1 標準內銷,B,5,客戶時間不足/不願深入溝通,業務推進受阻/需求難以釐清,高
0000025389,C1 標準內銷,B,5,"價格太高, 無系統需求, 預算不足, 對系統效益不了解, 人工管理效率低","銷售進度受阻, 客戶拒絕邀約, 潛在商機難以推進",中
0000027156,C1 標準內銷,B,5,客戶無需求; 聯絡障礙,潛在客戶流失; 業務進度延遲,高
0000029216,C1 標準內銷,B,5,,,
0000029718,C1 標準內銷,B,5,需求已解決; 無需求,評估中斷; 業務機會流失; 台灣業務狀況不明,低
0000030030,C1 標準內銷,B,5,客戶無暇/窗口難尋/需案例證明,潛在商機流失/資格認定效率低落/銷售週期拉長,中
0000031262,C1 標準內銷,B,5,"報表異常, 報表產出時間過長, 硬體效能不足, 系統設計問題","業務流程效率, 決策支援, IT基礎設施",高
0000031410,C1 標準內銷,B,5,客戶聯繫與需求不明確/現有方案滿意,業務進展受阻/潛在客戶流失,中
0000031644,C1 標準內銷,B,5,舊有ERP系統功能不符銷售型態與庫存管理需求；資安建置觀望；PAL系統客製化需求,銷售型態、庫存管理、系統客製化、資安建置、人力資源管理,中
0000032312,C1 標準內銷,B,5,客戶現有系統問題與時間限制,銷售進程受阻,中
0000032597,C1 標準內銷,B,5,老闆評估、內部流程不清、已有系統且近期更換,決策流程、資訊傳遞、系統替換週期,中
0000033837,C1 標準內銷,B,5,已導入競品系統,暫無系統需求,低
0000034065,C1 標準內銷,B,5,"電子表單自動化需求, 跨國多據點管理, ERP系統整合, 權限管理, 效率低下","效率, 系統架構, IT管理, 營運效率, 數據一致性, 成本, 合規性",高
0000034093,C1 標準內銷,B,5,客戶缺乏系統規劃需求；關鍵聯絡人離職；業務類型不符；負責人員外出,無立即商機；資訊傳達延遲,低
0000034845,C1 標準內銷,B,5,,,
0000036569,C1 標準內銷,B,5,預算限制,專案進度受阻，需尋求符合預算方案,高
0000037811,C1 標準內銷,B,5,聯絡困難/資訊不對稱/客戶觀望,銷售進度延遲/客戶接觸困難/銷售週期拉長,中
0000038956,C1 標準內銷,B,5,"預算問題, 國內業務不穩","合作受阻, 系統評估暫停",高
0000039362,C1 標準內銷,B,5,"負責人時間衝突/不在公司, 客戶現有系統穩定無更換需求","業務聯繫受阻, 潛在機會暫停",中
0000040221,C1 標準內銷,B,5,聯繫困難,業務推進受阻,中
0000040437,C1 標準內銷,B,5,"無需求, 已解決, 評估暫緩","業務流程, IT基礎設施, 決策流程",低
0000040453,C1 標準內銷,B,5,缺乏急迫性評估,"專案管理, 零件管理",低
0000040535,C1 標準內銷,B,5,"聯絡無效, 聯絡人離職, 客戶拒絕聯繫","業務進展受阻, 業務機會喪失, 客戶關係中斷",高
0000041187,C1 標準內銷,B,5,,,
0000042174,C1 標準內銷,B,5,無需求,商機停滯,低
0000042578,C1 標準內銷,B,5,人工庫存管理效率低; 系統相容性/穩定性擔憂,庫存管理; 系統導入風險,中
0000042852,C1 標準內銷,B,5,"主機故障, 電源供應器問題, 客戶態度冷淡, 潛在問題未浮現, 老闆認為ERP使用沒問題, 生產段未使用系統, 人員不熟悉系統, 人員忙碌無暇處理系統, MA效益疑慮","ERP系統運作, 客戶自行處理, 待原廠處理, 溝通障礙, 難以掌握客戶需求, MA採購受阻, 系統導入進度緩慢, 人員抗拒",高
0000043746,C1 標準內銷,B,5,"無規劃, 婉拒資訊, 溝通阻礙","銷售機會, 客戶關係",低
0000045475,C1 標準內銷,B,5,電子發票帳務問題與系統穩定性,帳務處理與系統營運,None
0000047091,C1 標準內銷,B,5,既有SI/內部開發; 需求已滿足; 預算考量,銷售機會受阻; 產品/服務被拒絕,None
0000048056,C1 標準內銷,B,5,"['業務資料管理混亂', '客戶時間不便', '預算不符']","['數據分析困難', '業務交接問題', '公司狀況不透明', '溝通延遲', '交易受阻']",中
0000048563,C1 標準內銷,B,5,系統使用體驗不佳,客戶抱怨與信任度降低,高
0000048696,C1 標準內銷,B,5,ERP模組未完全上線; 對新技術（chatfile）無需求; 導入客戶端訂單系統; 流程討論與架設,營運效率; 技術導入; 時間管理; 新系統導入,低; 中
