company_id,cluster_name,best_stage,missing_layers,recommended_question
0000003786,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000004013,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000005162,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000005309,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000000220,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000011640,C5 家族外銷,A,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000016537,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000023067,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000020235,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000013615,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000000031,C1 標準內銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000009173,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000041280,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000040178,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000015146,C4 品牌驅動,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000021704,C5 家族外銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000024910,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000000917,C4 品牌驅動,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000006085,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000014095,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000015219,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000009175,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000047998,C1 標準內銷,C1,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000048068,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000038003,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000005693,C1 標準內銷,A,L4/L5/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000003291,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000046208,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000017808,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000033228,C1 標準內銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000001559,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000009130,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000030025,C4 品牌驅動,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000028499,C5 家族外銷,B,L4/L5/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000040535,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000030406,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000011836,C1 標準內銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000016677,C1 標準內銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000027387,C1 標準內銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000016715,C5 家族外銷,A,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000003433,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000036401,C1 標準內銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000021586,C4 品牌驅動,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000046498,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000048529,C2 大型外商,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000002277,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000003676,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000031410,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000001594,C5 家族外銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000040453,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000034366,C1 標準內銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000025585,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000047962,C1 標準內銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000017417,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000007486,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000044106,C5 家族外銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029362,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000038681,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000004812,C1 標準內銷,C2,L4/L5/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000019993,C5 家族外銷,C2,L4/L5/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000009091,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000030099,C5 家族外銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000031730,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000020338,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000005821,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000006872,C5 家族外銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000045266,C5 家族外銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000017712,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000039762,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000000048,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000045905,C1 標準內銷,A,L5,您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000047121,C4 品牌驅動,A,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000022124,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000011865,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000004729,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000035196,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000027870,C5 家族外銷,C2,L5,您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000027559,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000039882,C1 標準內銷,A,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000047194,C4 品牌驅動,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029429,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000003690,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000024448,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000008248,C2 大型外商,C1,L4/L5/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000011322,C0 微型內銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000048563,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000047034,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000028393,C5 家族外銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000029331,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000042884,C2 大型外商,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000042820,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000034794,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000002882,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000039362,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000037811,C1 標準內銷,B,L5,您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000002025,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000035424,C1 標準內銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000039461,C1 標準內銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000042852,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000005605,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000012387,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000015350,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000005944,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000002188,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000003760,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000004862,C6 外資貿易,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000013095,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000014678,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000033645,C5 家族外銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000040625,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000040437,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000032312,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000048253,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000001271,C5 家族外銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000029336,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000047098,C6 外資貿易,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029796,C6 外資貿易,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000010336,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000047091,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000028308,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000042578,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000023505,C5 家族外銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000014546,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000027768,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000028533,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000000117,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000040673,C1 標準內銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000009812,C5 家族外銷,C1,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000042019,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029705,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000029688,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000030983,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000007447,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000048677,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000045475,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000000060,C4 品牌驅動,C1,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000005015,C1 標準內銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000023761,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000016064,C5 家族外銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000019644,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000029146,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000012771,C1 標準內銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000010123,C5 家族外銷,B,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000048696,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000030030,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000031047,C1 標準內銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000041354,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000045553,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000016740,C6 外資貿易,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000040972,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000015589,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000047765,C1 標準內銷,C2,L5/L6,您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000024817,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000009688,C0 微型內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000041559,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000016948,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029718,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000014924,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000041681,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000008304,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000007488,C1 標準內銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000031137,C5 家族外銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000043072,C5 家族外銷,C2,L5,您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000047080,C1 標準內銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000012701,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000016695,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000039556,C5 家族外銷,B,L5,您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000045217,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000011644,C1 標準內銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000043877,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000039568,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000025295,C1 標準內銷,B,L4/L5/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000024136,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029963,C5 家族外銷,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000024642,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000008678,C5 家族外銷,C2,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000048708,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000012711,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000026033,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000044687,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000000109,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000011533,C6 外資貿易,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000041571,C6 外資貿易,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000047201,C5 家族外銷,A,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000034335,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000031884,C5 家族外銷,A,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000021983,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000032647,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000031029,C5 家族外銷,B,L4/L5/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000047548,C4 品牌驅動,C2,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029327,C1 標準內銷,A,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000018085,C5 家族外銷,C2,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000043172,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000045731,C5 家族外銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000029732,C1 標準內銷,C2,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000027176,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000032597,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000018636,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000031262,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029874,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000027528,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000045024,C5 家族外銷,C2,L5,您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000019222,C1 標準內銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000029328,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000027156,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000013949,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000025389,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
