company_id,log_content,log_date,stage,prev_stage,transition,prev_rank,curr_rank,time_gap_days,transition_type,time_gap_group
0000029391,邀約客戶參加研討會活動，並提供相關活動資訊內容。,2025-03-19 03:50:13.130,E,A,A → E,1,6,244.0,反向降級,>180天
0000029391,"因盟立內部政策更動, 今年開始不接低溫倉與冷鏈, 故公司需重新招標評估, 目前初步規劃全廠佔地約4500坪,倉儲區規劃約2200坪, 分別配置一般自動倉(1-4樓)與低溫倉(1-3樓)AS/RS。
1.常溫自動倉(雙深): 長度75公尺(43格)*高度28.5公尺(11層)*4=約1892格棧板儲位。
2.低溫倉(單深):長度75公尺(43格)*高度20公尺(7層)*2=約602格棧板儲位。
目前客戶尚在初步建廠規畫, 故自動倉規格及需求尚未定案, 加上新廠希望導入自動化應用, WMS搭配AGV,透過與ERP,WCS,WMS系統整合做到更自動化,因此請鼎新協助此段評估=>內部確認後由廠商:台勵福 協助此案評估, 後續會再與客戶約拜訪討論時間。*另外, 此案有競爭對手: 漢錸, 廣運。",2025-07-15 00:32:27.797,C1,A,A → C1,1,3,6.0,反向降級,<7天
0000029412,"18408 提供遊小姐整體專案報價, EF版更+EF重啟輔導(標準導入+HR ESS整合, 不含ERP整合)+HR ESS重啟輔導(HR基本資料設定+ESS前端教用), ---------另外,因主機不符合新版更新, 本周會在與數科業務討論硬體規劃, 再安排時間過去與玫婷姊討論方案。",2024-02-17 12:54:46.990,B,A,A → B,1,2,,反向降級,
0000029412,"與客戶約拜訪, 預計3/12至貴司參訪現場, 因客戶屬於台塑供應鏈下游廠商, 私田針對這樣的石化業客群相對較少, 希望可多蒐集一些情境及管理議題, 再完善這段的藍圖規畫內容。",2025-03-11 08:57:53.750,C1,A,A → C1,1,3,252.0,反向降級,>180天
0000029701,"【活動邀約】邀請廠長(二代)參加5/17活動, 廠長回覆因5/13-5/18要去日本驗機, 剛好時間沒辦法, 下次有類似活動再通知他。",2024-05-08 18:59:17.277,D,C1,C1 → D,3,5,,反向降級,
0000029701,"安排1/15(三) 10:00-12:00 與盟立SA說明鼎新WMS整合包的TABLE欄位定義、整合功能，後續WMS資料整測會由顧問直接與廠商討論, 預計過年前完成標準整合測試。",2025-01-14 02:31:49.857,B,A,A → B,1,2,39.0,反向降級,30-90天
0000032181,Q: 線下活動出席A: 暫無需求。,2025-12-15 14:38:59.410,C1,B,B → C1,2,3,88.0,反向降級,30-90天
0000034065,"Q: 線下活動出席A: 行業：半導體
聯絡人：王偉庭
職能：資訊
職等：副理
話題：AI
行動AiGP：C2
經營進度：覆蓋
客情內容：參與《AI數位勞動力實踐交流會：眼見為憑，預見AI Agent新戰力》
待辦：後續回訪",2026-03-17 16:49:57.163,D,C1,C1 → D,3,5,,反向降級,
0000039245,"與佳靜經理前往了解問題，客戶主機由infra抱回，資料救援費用約20萬，另外主機電供壞掉，需建至虛擬環境主機，加起來約快100萬。
客戶對於預算希望壓低，表示早期鼎新導入時有很多問題 導致系統上線資料沒有設定好(許多未結案)，若費用這麼高，可能考慮直接換掉鼎新系統，改由其他小間系統公司使用。因客戶介意預算問題，暫時不push MA，待 infra報價，看未來有哪些地方需協助。",2024-12-11 11:17:18.610,B,A,A → B,1,2,21.0,反向降級,7-30天
0000039245,"目的: 拜訪+MA維護
窗口: 吳先生
電話說明後續由我服務，順便分享一些Ai趨勢，交換名片",2025-06-27 13:40:26.137,C1,B,B → C1,2,3,198.0,反向降級,>180天
0000047498,"目的: AIGP論述
窗口: 陳課長
因WF版本過舊GP25，故跟客戶提醒鼎新會做環境評估確認，為未來做升級打算，陳課長反饋:今年公司生意不好，受大環境影響，主要公司產品是精品包，大家消費降級，故今年沒有預算做升級費用。",2025-05-14 17:10:47.853,B,A,A → B,1,2,267.0,反向降級,>180天
0000047498,"目的: 6/19老客回娘家活動邀約
窗口: 陳課長
聊天提及6/19剛好這天是陳課長生日，說明一定要來，此場蠻多Ai趨勢分享，也詢問對方認為Ai的應用的想像是什麼? 他說:Ai就是我們不用再輸入資料跟餵資料給他才是真Ai，另外提及台灣很難找到經緯編的技術指導(組織圖、設計圖)，若有相關資訊可以分享給他。",2025-06-11 08:10:18.113,C2,A,A → C2,1,4,10.0,反向降級,7-30天
0000049649,"請顧問提供WF API的架購說明及簡報，已提供，但經理還需要附件功能的資料，看可否再幫忙提供給他。
已約好再次說明釐清的會議時間。",2025-07-03 23:07:55.233,C1,B,B → C1,2,3,136.0,反向降級,90-180天
0000049649,"1.提供智物流報價給許經理，並跟他做報價說明，請他先往上呈報。
2.陳經理詢問DOP問題。",2025-10-17 18:02:42.433,B,A,A → B,1,2,45.0,反向降級,30-90天
0000049649,"【+AI】
1.跟經理說明AiGP的升級，談到AI一體機 私有化方案跟多智能體平台 AI Agent，經理想知道，若要使用多智能體平台串接，他們的軟硬體還需要做些什麼準備，需要顧問輔導嗎?待確認後再回覆給客戶。
2.帶數科業務一起過去認識。",2025-11-04 18:03:56.270,C1,B,B → C1,2,3,18.0,反向降級,7-30天
0000052888,以Email寄發活動邀請函，邀請前往參加《2026 鼎新企業高峰年會》，並隨信附上EDM供參考。,2026-04-16 17:25:57.130,C2,B,B → C2,2,4,,反向降級,
0000060902,"""目的:版更商機探詢。
窗口:IT林嘉賢(康先生公出)
SAY HI，目前只有使用ERP、EF，以資安議+windows版本問題切入，表示目前系統都使用穩定，沒有上述狀況發生。暫時無版更需求。""",2025-01-14 11:35:26.573,C1,B,B → C1,2,3,145.0,反向降級,90-180天
0000062535,寄開工訊息關心。,2024-03-08 16:18:04.980,D,C1,C1 → D,3,5,,反向降級,
0000062829,12484 追蹤唯哲索取他們在評估27001的規格，後來才知道是I SMS系統文件建置輔導。詢問內部崇裕顧問，表示鼎新也有這類服務，請他協助評估看能否直接報價。但須確認認證範圍以及何時取證。在詢問唯哲，表示範圍要問董事長，問完再跟我說。取證的部分，預計七月或八月會取到。我最後回覆，因為認證範圍攸關費用，所以請他幫忙確認後跟我說喔。預祝周休愉快。再追蹤。,2026-02-06 15:46:38.473,B,A,A → B,1,2,,反向降級,
0000063728,Q: 熱度推薦A: 已跟客戶約6/6號做集團系統規劃討論。,2025-06-06 02:20:28.403,C1,A,A → C1,1,3,,反向降級,
0000063744,邀約3/10拜訪，淑萍抱怨我們換業務換得太誇張了，他不會跟我們任何一個業務見面，只要發信件聯絡得到人就好,2026-03-06 11:57:41.177,C1,B,B → C1,2,3,,反向降級,
0000063767,"貴淵：聯蕙，如上次您來拜訪時提到， 工藝品產線目前有設備管理模組 和 追溯優化的需求 ( 查詢速度要很快)。
請再安排人員來做說明。
健佑：人資在問永續人資的需求先報價，口頭報完他們就不想DEMO了，先人工繼續做，因為公司近期沒有賺錢，不敢再提這種人工處理的小事了。 目前聽起來是這樣 除非被要求 ，可能會先手工做資料。",2024-07-09 16:19:39.957,B,A,A → B,1,2,11.0,反向降級,7-30天
0000063767,詢問GS主機一台價格，說可能需要汰換並詢問序號重查怎麼算，MAIL報價單。,2024-11-04 09:35:24.123,B,A,A → B,1,2,110.0,反向降級,90-180天
0000064199,"準備一些適合製造業的AI觀念和落地執行的方式說明，與副總說明。
另外預計今年就會開始建置第1條SMT線。如果有相關內容，也可以大概說明。

目前已經邀約秀珠姐，剩秉翰的時間，若時間都OK，預計6/28拜訪客戶。

另外，客戶目前再找機聯解決方案，我們也可以參噢。",2024-06-19 18:38:48.000,C1,B,B → C1,2,3,,反向降級,
0000064199,"資訊副理
1. 與資訊副理來 南港自動化展場 參加 15:00 科學簡碳場域。
2. 建議鼎新9/4會議報告，可以著重在於減碳的手法，QC長官對於這段是有興趣的。
3. 認為關於變頻器用於減碳這段，是第一次聽到，也可以像環安經理說明報告。
4. 有詢問到自動化展，鼎新配合的廠商有哪些，有特別帶去泓格說明。
5. 對於 泓格 的 EMS 監測，詢問鼎新是否用這套，這部分是有說明，我們是使用有商的監測設備，但軟體訂閱是鼎新這邊的。

安衛總務部 經理
1. 這部分有請安衛經理與 FRANK 老大聊一下。
2. 客戶認同科學簡碳這段，場內目前有智慧電表，但應該沒有平台做對應。
3. 有邀請長官 9/4 請坤哥 報告能管。",2024-08-23 21:32:57.177,C1,B,B → C1,2,3,11.0,反向降級,7-30天
0000064199,已約訪客戶介紹ISO27001顧問輔導服務,2024-11-08 18:11:52.840,E,C1,C1 → E,3,6,76.0,反向降級,30-90天
0000064812,"【商機開發】1.CPC原先找泓格廠商，等整合部分目前無法做到，故找鼎新進場評估。
2.預計申請500萬+500萬的補助專案，購買設備和改機大概700萬，剩下的300萬會用在機聯和AOI
3.AOI目前有配合廠商，預計先購買兩台
4.參數希望撈取溫度和壓力，溫度目前超過正負10度機台會跳警訊才會停機，超過正負3度希望可以跳出提醒。壓力目前5~7公斤都不會跳警訊，應該是6.6或5.5就應該要跳提醒。
5.配方保密模組可評估是否需要",2024-07-03 17:22:11.767,C1,B,B → C1,2,3,,反向降級,
0000064927,"1.因協理堅持薪水因協理堅持薪水結算要由協理本人及會計處理，人資只需負責出缺勤的登打，
請我們顧問再去做教用
2.下週四原先要過去前往PLM POC，但協理要出國，將時間更改至7/8下午
3.協理反應SRM系統我們尚未安排輔導，請我們盡快協助",2025-07-04 17:42:44.760,B,A,A → B,1,2,,反向降級,
0000065080,內部作業：整理個案報價,2024-10-07 17:39:33.810,B,A,A → B,1,2,,反向降級,
0000066198,內部討論(學誌、貴銓、秀珠、奇恆總、南傑總)，客戶需求尚未明確，需要拉動增值顧問一併了解，後續才能給予正確的協助規劃，另外自動化硬體改善，依現有資訊尚無法往下探討，客戶有多種層架類型，各類型儲位數量與進出庫數量都沒有，倉儲地點也分散，不會建議現在就談，目前還事先梳理客戶流程為主，有明確價購後再做硬體段討論。,2025-02-21 08:59:53.373,C1,B,B → C1,2,3,,反向降級,
0000066198,Q: 線下活動出席A: (1)主要確認後續AIGP串接方式(2)目前客製將近兩千小時，後續程式改寫到上線需要多少時間，客製部分會不會影響到AI判斷(3)資訊端如何控管權限跟機敏資料如何防止外洩(4)USER的問題可否回述到原本使用的程式代號,2026-03-17 15:28:55.657,C1,A,A → C1,1,3,165.0,反向降級,90-180天
0000066691,已先寄Email4/23高雄場Al數位勞動力實踐研討會資料，4/20確認信件及參加意願。,2026-04-28 00:45:02.997,C1,A,A → C1,1,3,,反向降級,
0000066765,與wendy經理拜訪王總討論AOI機臺後續處理狀況，以下是會議重點:(1)目前主要檢測最大的難題是手把的部分，王總是説這一段目前AOI會因爲旋轉拍攝容易有折射的關係容易誤判；(2)因王總覺得導入AOI的目的在於減少依賴人力做品檢，如果手把的問題沒有解決會還需要浪費人力檢測就是去AOI的意義；但王總有說可以將檢查的項目換成是無手把然後是600ml的瓶子，已經將瓶子提供給李總測試是否可行；(3)王總表示不知名原因有發生瓶子的標簽會隨著瓶子的凹陷處形成凹陷，目前有因此被客戶客訴，王總表示可能的原因是因爲瓶子直接射出后做標簽貼合，但因爲瓶子靜置幾天後就會有收縮的情況，因此造成該問題，目前已經有嘗試調整參數、換原料、換模具或標簽的種類都無法剋服該問題:(4)有邀約王總6/26臺南場活動，王總會出席,2025-10-03 22:32:48.110,B,A,A → B,1,2,,反向降級,
0000067632,回覆財務問題給副理，副理預計明天跟總經理回報，沒問題就上簽呈了,2026-02-11 17:13:42.310,D,C1,C1 → D,3,5,132.0,反向降級,90-180天
0000067637,【前情】電繫-告知業務窗口更新【人員資訊】葉君毅(#206成本財務)，陳小姐(代接電話)【訪談要點】1.總機信銘工業/日信特殊氣體。2.陳小姐說葉會計周三才在。(9/11也不在)【後續】為重點邀約總經理的窗口，周三聯繫。,2024-09-11 16:28:50.230,D,A,A → D,1,5,,反向降級,
0000067637,【前情】MAIL/電繫-朱經理文件請求【人員資訊】朱經理(eddie_chu@hsingmien.com)【訪談要點】請朱經理提供台積電客戶對供應商管理相關需求的文件【後續】後續將資料提供給顧問進行評估。(12/17MAIL提供，並將資訊轉給顧問),2024-12-18 09:42:17.687,C1,B,B → C1,2,3,4.0,反向降級,<7天
0000067637,"(內部紀錄)客戶規劃IPO，有資安方面的規劃。
PASS INFRA 請冠霖經理協助派工聯繫。",2025-08-13 11:43:20.963,D,B,B → D,2,5,175.0,反向降級,90-180天
0000068132,客戶致電說他們上午檔案打不開，經了解是中勒索病毒，請我們協助處理災難應變及處理，以及規劃後續資安防護相關事宜,2025-07-02 16:08:27.997,C1,A,A → C1,1,3,,反向降級,
0000068366,與陳小姐聯繫，目前排定9/30早上10點高階訪談，預計內容:ERP規劃方向與期望,2024-09-20 10:55:21.833,D,C1,C1 → D,3,5,,反向降級,
0000069283,Q: 符合標準PASS單A: 已經與客戶聯繫,2025-09-15 10:29:42.470,D,A,A → D,1,5,,反向降級,
0000069714,Q: 符合標準PASS單A: 約定4/25拜訪,2025-04-24 14:59:27.470,C1,B,B → C1,2,3,,反向降級,
0000070718,"客戶財務再次表達對E10台灣有安裝跟服務的疑慮
怕資安有問題",2025-06-26 23:07:32.363,D,C2,C2 → D,4,5,,反向降級,
0000071147,"追蹤CRM
給ERP上雲活動分享",2024-08-13 16:03:28.777,D,B,B → D,2,5,,反向降級,
0000071864,"管規會議
說明ESG及碳總管平台，有做碳盤查，沒有用平台收集

TBD: 
1. OAP輔導?
2. 工程專案管理",2024-06-05 17:01:15.197,C1,A,A → C1,1,3,,反向降級,
0000071864,"CRM需求訪談 說明
鼎新系統無法滿足：專案成本在CRM上看到, 
樣品串接ERP的單據與客戶想要的不同",2024-11-04 10:46:24.540,C1,B,B → C1,2,3,50.0,反向降級,30-90天
0000071864,陳總參觀完大陸參訪團，持續追蹤OT機械手臂商機,2024-11-04 11:00:20.837,D,B,B → D,2,5,0.0,反向降級,
0000072203,致電黃副理，邀約關稅補助工作坊，會再評估時間是否可以參加。致電Eddie，會在協助Pass給主管參考。,2025-09-17 10:31:10.427,C1,B,B → C1,2,3,219.0,反向降級,>180天
0000072321,"EF專案會議
ERP專屬客服會議討論
HR會議改約8/16 15:30",2024-08-12 10:15:19.023,C1,B,B → C1,2,3,,反向降級,
0000072321,客服案近問題確認已排除,2025-10-03 19:27:57.950,C1,A,A → C1,1,3,352.0,反向降級,>180天
0000073032,針對4/23高雄場Al數位勞動力實踐研討會做邀約，廖特助表示要先看資料才可以決定，所以已寄信提供業務資料及4/23高雄場研討會資料，明天4/14會與廖特助確認信件是否收到及4/23高雄場研討會參加與否，並多談WF版本問題深聊。,2026-04-14 10:23:24.040,C1,A,A → C1,1,3,693.0,反向降級,>180天
0000076011,"APS介紹
對於APS裡面AI應用有興趣，會在今年11月決定",2024-10-28 10:52:23.030,C2,B,B → C2,2,4,,反向降級,
0000078103,已持續關心客戶,2024-10-21 16:42:15.140,D,A,A → D,1,5,,反向降級,
0000083323,聯繫特助呂博仁(top09@topist.com.tw)(二代)邀約達宇研討會，已口頭答應有興趣參加，並傳mail給呂特助個人聯絡資訊及報名網址。,2025-08-11 17:38:39.313,C2,C1,C1 → C2,3,4,,反向降級,
0000083323,"與特助確認微軟資料。(特助有詢問HR權限問題)
並與財務核對明日收支票",2025-12-22 18:12:28.690,C1,A,A → C1,1,3,10.0,反向降級,7-30天
0000085051,跟宋特助約7/10過去討論EF版更事宜,2024-07-02 17:34:08.557,C1,B,B → C1,2,3,,反向降級,
0000090703,長天期追蹤，12/11已匯款,2024-12-12 10:31:35.453,D,B,B → D,2,5,,反向降級,
0000090703,確認明天下午的拜訪行程，另外確認客戶PDA操作的現場（蘆竹）已經有完成VPN設定，無須規劃，另外他們想了解WF AI的相關功能,2025-07-21 18:28:20.173,C1,B,B → C1,2,3,3.0,反向降級,<7天
0000091321,二次電話聯繫財務黃雪菁經理(info@aokay.com.tw )邀約達宇研討會，黃經理先請我們傳信箱給他，他再與蕭先生討論是否要參加。(預計明天再打電話),2025-08-15 08:51:51.907,C1,A,A → C1,1,3,,反向降級,
0000094849,"「報價」
1、EF API串接由母公司發起需求，要求子公司電子簽呈系統與母公司簽呈系統串接，報價給碩頂。",2024-06-26 17:38:37.397,B,A,A → B,1,2,,反向降級,
0000094969,"1. 回覆曾先生先前提出之問題，若要使用Windows server 2025，WF ERP、EF建議升版至AiGP。
2. 曾先生追問現有資料都能100%轉移到AiGP版嗎？業務回覆會有測版環境確認數據無誤才會正式上線。",2026-01-23 17:56:42.097,C1,B,B → C1,2,3,,反向降級,
0000095379,Q: 線下活動出席A: 討論過後客戶決定先不升級，小版更即可,2026-04-09 13:47:13.747,C1,B,B → C1,2,3,61.0,反向降級,30-90天
0000095506,"評比了幾家友商，職護們一致覺得鼎新是好的，
但主管尚在考量資安問題以及其他職能之使用感受。
約定周五繼續追蹤。確認新光內部流程，於下次聯繫可以決選完成。",2024-02-20 10:28:41.297,C1,B,B → C1,2,3,28.0,反向降級,7-30天
0000095903,"Q: Computex展場A: 窗口：溥頤平
於computex展場認識, 為資安軟體與dell代理商, 後續與dell窗口 業務經理 蕭振牽線, 尋求經銷合作之可能",2025-06-23 09:13:53.093,D,C1,C1 → D,3,5,,反向降級,
0000096057,"AiGP論述，因為融程的外掛程式多，所以他們猶豫升版到T100要調整的幅度很大。
可評估GP3升版到AiGP, 請我們一併規劃新主機，實轉虛。",2025-05-15 22:52:00.913,C1,A,A → C1,1,3,214.0,反向降級,>180天
0000096251,"【專案議價】與課長約3/20上午至貴司針對本次專案範疇進行最後確認&議價, 如沒問題後重新送呈。",2024-03-15 19:19:18.713,B,A,A → B,1,2,,反向降級,
0000096251,【商機開發】與課長約4/11下午至貴司說明EF費用報銷模組&TBB。,2025-04-09 02:34:04.020,E,A,A → E,1,6,329.0,反向降級,>180天
0000096281,陳總說目前他已經下管理職，現在是另外一位人接手，他會幫我把訊息轉給現在負責流程的經理和總經理，後續如果有AI的應用歡迎跟它們分享，另外邀約AI年會，同步也會轉發過去,2026-03-19 11:48:09.113,D,C1,C1 → D,3,5,,反向降級,
0000098773,Q: HRM客服推薦A: 安排10/28 拜訪新資訊窗口，並了解此商機需求,2025-10-27 10:12:43.317,C1,A,A → C1,1,3,,反向降級,
0000098791,詢問增資問題甘錞說內部沒有什麼大變動，,2024-11-30 20:26:50.223,C2,B,B → C2,2,4,,反向降級,
0000100111,客情調查，不曉得上一次更換硬體的時間是什麼時候，說需要去查才會知道，後續可再找時間追蹤,2024-09-04 15:18:15.843,D,A,A → D,1,5,,反向降級,
0000100527,"先前拜訪客戶已有談過ESG議題,客戶目前的確在導入14064",2024-11-01 15:58:43.483,C1,A,A → C1,1,3,21.0,反向降級,7-30天
0000100731,"與前業務確認客戶首購MES問題,確認後續需要啟動蘇州廠輔導",2024-08-04 16:22:31.607,C1,B,B → C1,2,3,,反向降級,
0000100796,"1.主機備份問題討論，去年換新veeam後，TT因OS/DB版本無法做RMAN備份，其他VM備份還ok，轉工程協助下週回覆。客戶反饋換主機後還不太穩定，瀏覽器方案包也還有問題在處理，希望盡快把各系統恢復到之前的穩定狀態
2.討論到ERP資安規劃，客戶尚未要求27001，但ERP底層漏洞想處理，系統升級還從長計議
3.已開始碳足跡評估，待客戶整理好外部要求後再重啟提案。去年只有粗抓個案",2025-03-16 23:32:41.497,B,A,A → B,1,2,244.0,反向降級,>180天
0000100796,"1.拜訪QA單位討論追溯需求。出貨巴西、東南亞、歐洲、美洲，稽核要求各有規範，台積、台達、車廠會指出電子化沒做到要改善。品保希望先從倉庫成品追溯開始，客戶認為部件太難處理故想放二階段(Mclient現在也只有做成品)，待調研後再討論
2.新莊正在導碳足跡，宜蘭要控管碳量五年(若超過2.5萬噸要收碳稅)。碳足跡做單機種，但是銷歐盟8x幾種，實務上計算困難。撈BOM表資料提交，在驗證被退絕，驗證公司也反映宜蘭極版領用吃到飽再倒扣的方式的要改善(用總量除百分比給驗證機構，但驗證公司稽核，之後要有領料單據)",2025-06-22 22:43:23.190,C1,B,B → C1,2,3,97.0,反向降級,90-180天
0000101090,陳瑩慈反映需要績效管理系統的SOP文件檔案，因雲管家沒有資料可下載，協助確認HRM績效管理系統何時買的?  顧問當時有沒有輔導?  確認需不需額外費用?,2025-05-12 15:52:00.053,C1,A,A → C1,1,3,,反向降級,
0000101131,"【問題處理】1.窗口回覆范總表示先暫停QMS，原因是因為認為ERP&MES專案上線時程一直往後遞延。
2.預計做法會與ERP PM 怡君顧問到客戶家進行說明聚焦(1)遞延上線的原因(2)品質檢驗的做法(客製、ERP欄位紀錄、QMS)(3)聚焦後續上線的時間。",2025-10-03 17:56:14.603,D,A,A → D,1,5,191.0,反向降級,>180天
0000101305,美祿採購Joy請我更新AIGP升級規劃報價 她會去送請購，而艾格生科技的江志豪之後是到美祿當IT才把他放到mail loop裡面，說艾格生之後工廠要外包出去，就很大機率不會續約WF、iMES，待12月看上層的決定通知。等桌曆到貨去送採購單位。,2025-11-25 11:20:03.490,B,A,A → B,1,2,272.0,反向降級,>180天
0000101305,採購提出法務要調整AIGP升級專案的訂購單契約條款內容、降U數，追蹤待回覆,2025-12-04 16:52:58.047,D,B,B → D,2,5,9.0,反向降級,7-30天
0000101305,Q: INFRA活動足跡推薦A: 與客戶聯繫，報名是為加強資安相關意識,2025-12-22 10:44:01.713,D,A,A → D,1,5,5.0,反向降級,<7天
0000101310,User在反映ERP登不進，故提出WF增購10U，已報價58萬,2025-03-12 22:37:40.370,B,A,A → B,1,2,97.0,反向降級,90-180天
0000101310,"Q: 情資,資安關鍵A: 關心現在的IT，詢問為何有此職缺",2025-08-06 15:29:42.073,C2,B,B → C2,2,4,146.0,反向降級,90-180天
0000101310,"行業：非聚焦
聯絡人：林致榮
職能：資訊
職等：工程師
話題：AI
行動AiGP：
行動一體機：D
行動資安：
行動OT：
經營進度：覆蓋
客情內容：確定HR升級進度：剩下安排版差輔導，另外詢問每月業績打單量多寡，需求偏高，故趁勢講一體機生單助理，但IT說這裡傳產很難打動，且GPU SVR太貴，不理想。【活動邀約】邀約兩位IT，4/28(二)新竹／肯沃國際商務中心(享平方) 將舉辦《攜手啟航智驅企業的未來願景 Al數位勞動力實踐交流會》
待辦：",2026-04-14 17:10:34.993,C1,B,B → C1,2,3,167.0,反向降級,90-180天
0000101324,智能物流的案子，董事長指定要做，主導的目前預計是倉管。雖然倉管導入意願低，老闆受客戶要求，資訊也會協助呈報。台積電稽核的內容是先進先出跟線邊管理，僅款這樣倉管還是說智能物流先進先出功能他們不需要。等這週客戶報告後續。提供報價&調研簡報。,2024-09-10 22:30:55.693,B,A,A → B,1,2,67.0,反向降級,30-90天
