stage_path,count,percentage
A → C1 → B → C2 → C1 → A → B,1,0.03
B → C1 → A → B → C1 → A → C1 → D,1,0.03
C1 → A → B → A → B,1,0.03
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A → C1 → A → D → C2,1,0.03
B → A → B → D → A → D → C1 → A,1,0.03
D → C1 → B → C1 → A,1,0.03
A → C1 → B → E → C1,1,0.03
A → B → A → B → A → B → C1 → A → C1,1,0.03
B → C1 → A → C1,1,0.03
B → C1 → C2 → C1 → B,1,0.03
B → A → B → C2 → A → C1 → A → C1 → D → A,1,0.03
C1 → B → A → C2 → A → B → D → A → C1 → A,1,0.03
A → C1 → A → C1 → B → C1 → B → A,1,0.03
C1 → A → C1 → B → C1 → B → C1 → A → C1 → A → B → A,1,0.03
A → E → C1 → D → A,1,0.03
D → C1 → B → A,1,0.03
B → C1 → D → C1 → A,1,0.03
C1 → A → D → A,1,0.03
B → C1 → D → C1 → B → C1 → E → C1 → B,1,0.03
A → C1 → B → C1 → B → A → B → C1 → B → C1,1,0.03
C2 → E,1,0.03
E → A → B,1,0.03
E → C1 → B → C1,1,0.03
A → B → C2 → C1,1,0.03
C2 → C1 → A → C1,1,0.03
B → A → C1 → A → B → C1,1,0.03
E → C2 → A → C1 → B,1,0.03
C1 → C2 → C1 → A → C1 → A → B,1,0.03
A → C1 → B → A → B,1,0.03
C1 → A → C1 → B → C1 → B → C1 → C2 → B → C1,1,0.03
C1 → A → C1 → E → B,1,0.03
C1 → C2 → B → C1 → B,1,0.03
B → A → C1 → B → C2 → C1 → B,1,0.03
B → A → B → A,1,0.03
D → C1 → B → C2,1,0.03
C1 → E → B → C1 → B,1,0.03
C2 → B → A → C2,1,0.03
A → B → C1 → D → C1,1,0.03
C1 → E → C2 → E → B → E → C1 → A → C2 → C1 → A,1,0.03
B → C2 → D,1,0.03
A → B → C1 → A → C1 → B → C1 → A → D,1,0.03
B → C1 → B → D → C1,1,0.03
C2 → B → A → C2 → C1 → A → C1,1,0.03
A → B → E,1,0.03
C2 → C1 → B → E → B,1,0.03
C1 → A → B → C1 → B,1,0.03
A → D → C1 → E → A → C1 → B → C1,1,0.03
C1 → A → B → C1 → B → A → B → C1,1,0.03
B → D → C1 → B,1,0.03
C1 → A → C1 → A → C1 → B,1,0.03
A → B → A → C1 → B,1,0.03
C1 → E → D → A → C1,1,0.03
B → C1 → A → C1 → B,1,0.03
A → C1 → B → A → C1 → A → E → A,1,0.03
D → C2 → D,1,0.03
B → A → E → B → C1,1,0.03
A → B → C1 → B,1,0.03
C2 → C1 → E,1,0.03
C1 → A → D → B → C1 → B → C1 → A,1,0.03
C1 → D → C1 → A → D → C1 → A → B → C1 → A → C2 → B → C1 → B → C2,1,0.03
B → A → C2 → B,1,0.03
B → C1 → A → D → A,1,0.03
B → C1 → B → D,1,0.03
E → C1 → B → A,1,0.03
C1 → A → B → A → D,1,0.03
A → B → C1 → B → D → B,1,0.03
C1 → A → C1 → E → C1,1,0.03
A → C1 → A → C2 → C1,1,0.03
B → A → B → C1 → A → B → C2 → B,1,0.03
A → B → E → A,1,0.03
C2 → C1 → E → A,1,0.03
E → C1 → B,1,0.03
A → C1 → A → D,1,0.03
A → C2 → C1 → B,1,0.03
E → C1 → C2 → B → C1 → B → A,1,0.03
B → A → B → C1 → B → A → C1 → A → D,1,0.03
B → C1 → B → C2 → A → B → C2,1,0.03
B → C1 → A → C2,1,0.03
C1 → A → E → C1,1,0.03
E → C1 → E → C1,1,0.03
C1 → A → B → C2 → B,1,0.03
B → A → B → A → B → A,1,0.03
D → A → D → B,1,0.03
E → C2,1,0.03
C1 → B → C1 → A → B → A → C1 → C2 → B,1,0.03
D → C1 → B → C1,1,0.03
C1 → E → C1 → E,1,0.03
A → C1 → B → A → B → C1 → B,1,0.03
A → C1 → B → E,1,0.03
B → A → D → C1 → A → C2 → A → D → A → C1 → A → B → C1 → A,1,0.03
D → B → C1 → B,1,0.03
B → C1 → B → C1 → B → D,1,0.03
C1 → E → C1 → C2 → C1 → B,1,0.03
C1 → A → B → A → B → A → B → D → C1 → B,1,0.03
A → D → A → C1,1,0.03
B → A → C2 → D → C1 → A → C1,1,0.03
C1 → B → A → C2 → C1 → B,1,0.03
C1 → A → D → E,1,0.03
D → E → B → C1,1,0.03
C1 → B → A → B → A → C1,1,0.03
B → C1 → C2 → C1,1,0.03
A → B → A → B → C1 → A,1,0.03
D → A → C1,1,0.03
C1 → A → B → C1 → A → B,1,0.03
A → C2 → E → A,1,0.03
E → C1 → A → B → C1,1,0.03
C1 → D → B → C1 → B → C1 → D → C1 → B → C1,1,0.03
C2 → E → C1 → A → C1,1,0.03
C1 → A → C2,1,0.03
A → B → C1 → A → C2 → C1,1,0.03
C1 → B → D → C1,1,0.03
C1 → C2 → B → E,1,0.03
E → A → C1,1,0.03
A → C1 → B → A → C1,1,0.03
A → C1 → E → B,1,0.03
A → C1 → A → C1 → A → B,1,0.03
A → C1 → C2 → A → B,1,0.03
A → B → D → B → A → B → A → B → A → B → E → B → C1 → D,1,0.03
B → C2 → B → A → C1,1,0.03
E → C1 → A → B → A → C1,1,0.03
C1 → A → B → A → C1,1,0.03
D → B → E,1,0.03
B → D → B → C1 → A → C1 → B → C1 → A,1,0.03
B → A → C1 → B → E → B,1,0.03
E → B → E → C1 → A,1,0.03
C2 → D → B → A → E,1,0.03
B → C2 → C1 → B,1,0.03
B → A → C1 → B → C1 → B → C1 → B → C1 → D → C1 → C2,1,0.03
A → C1 → A → B → C2,1,0.03
A → C1 → D → B → C1 → C2,1,0.03
D → A → B → D → B → C1,1,0.03
C1 → B → A → E → B,1,0.03
B → D → C1 → A,1,0.03
D → B → C1 → B → A → C1 → B,1,0.03
C1 → A → C1 → B → A → B → A → B,1,0.03
C1 → B → C1 → D → C1,1,0.03
B → C1 → D → C1,1,0.03
E → C1 → B → C2,1,0.03
E → B → C1 → A → B → C1,1,0.03
C1 → A → B → A → C2,1,0.03
E → A → B → C1 → B,1,0.03
E → B → C1,1,0.03
C1 → D → A → B,1,0.03
A → B → A → C1,1,0.03
C1 → A → E → B → A → C1,1,0.03
A → C1 → A → B → A → C1 → B → C1 → B → A → B → A → C1 → B,1,0.03
C1 → A → E → A,1,0.03
B → C2 → B → A → C1 → A → C1 → B → C1 → E → A,1,0.03
C1 → B → D → A → B → D → B → C1 → A → B → A → C1 → C2 → E → C1,1,0.03
B → C1 → B → A → C1 → B → D → E → A → C1 → A → B,1,0.03
D → C1 → A → B → C1 → B → A,1,0.03
D → E → C1,1,0.03
C1 → A → C1 → B → C1,1,0.03
A → C1 → B → C1 → B → D,1,0.03
B → D → C2,1,0.03
C1 → A → C1 → B → A → B → D,1,0.03
A → B → C1 → A → C1,1,0.03
A → D → C1 → B → C1 → B → D → B → A,1,0.03
C1 → A → C1 → A → B,1,0.03
D → A → E,1,0.03
B → C1 → B → C1 → E,1,0.03
C1 → A → B → A → B → A,1,0.03
A → B → A → C1 → C2 → B → D → A,1,0.03
E → C1 → B → C1 → A → B,1,0.03
