conversion_path,count,percentage
D → C1 → A → B → C1 → B → A 【A成交】,2,0.01
A → E → C1 【C1成交】,2,0.01
C1 → B → C1 → D → C1 → D → C1 → A 【A成交】,2,0.01
D → A → B → C1 → A 【A成交】,2,0.01
B → A → C1 → A → B → C1 【C1成交】,2,0.01
C1 → B → C1 → B → A → C1 → C2 【C2成交】,2,0.01
C1 → A → B → A → C2 【C2成交】,2,0.01
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A → C1 → A → D 【D成交】,2,0.01
B → C1 → D → C1 → B → C1 → E → C1 → B 【B成交】,2,0.01
C1 → E → C2 → E → B 【E成交】,2,0.01
C1 → E → C2 → E → B → E 【E成交】,2,0.01
C1 → E → C2 → E → B → E → C1 → A 【A成交】,2,0.01
A → C1 → B → A → B → C1 → B 【B成交】,2,0.01
E → C1 → B → C1 → A → B 【B成交】,2,0.01
B → C2 → B 【B成交】,2,0.01
C2 → E → A 【A成交】,2,0.01
A → E → A → B 【B成交】,2,0.01
C2 → B → A → C2 → C1 【C1成交】,1,0.0
D → A → D → B 【B成交】,1,0.0
C2 → C1 → E → A 【A成交】,1,0.0
B → A → B → C1 → A → B 【B成交】,1,0.0
B → A → B → C1 → A → B → C2 【C2成交】,1,0.0
D → C2 → D 【D成交】,1,0.0
B → D → B → C1 → A → C1 → B → C1 【C1成交】,1,0.0
D → E → C1 【C1成交】,1,0.0
D → C1 → A → B → C1 【C1成交】,1,0.0
D → C1 → A → B → C1 【B成交】,1,0.0
D → B → C1 → B → A 【A成交】,1,0.0
A → C1 → A → C1 → B → C1 【C1成交】,1,0.0
A → C1 → A → C1 → B → C1 → B 【B成交】,1,0.0
C1 → A → C1 → B → C1 → B → C1 → A → C1 → A 【A成交】,1,0.0
C1 → A → C1 → B → C1 → B → C1 → A → C1 → A → B → A 【A成交】,1,0.0
C1 → B → A → C2 → A → B → D 【A成交】,1,0.0
C1 → B → A → C2 → A → B → D → A → C1 → A 【A成交】,1,0.0
B → C1 → B → D 【D成交】,1,0.0
B → C1 → B → D → C1 【C1成交】,1,0.0
C2 → B → A 【A成交】,1,0.0
C2 → B → A → C2 【C2成交】,1,0.0
B → A → C1 → B → C2 → C1 → B 【C1成交】,1,0.0
C1 → C2 → B → C1 → B 【B成交】,1,0.0
C1 → C2 → C1 【C2成交】,1,0.0
C1 → C2 → C1 → A → C1 → A 【A成交】,1,0.0
B → A → E → B 【B成交】,1,0.0
A → B → C1 【B成交】,1,0.0
E → C1 → B → C1 【C1成交】,1,0.0
C2 → A → B → A → B 【B成交】,1,0.0
B → C1 → D → C1 → B → C1 【C1成交】,1,0.0
B → C1 → D → C1 → B → C1 → E → C1 【C1成交】,1,0.0
C1 → A → D → A 【A成交】,1,0.0
B → C1 → D → C1 → A 【D成交】,1,0.0
D → C1 → B → A 【A成交】,1,0.0
C1 → A → C1 → B → C1 → B → C1 → A → C1 【C1成交】,1,0.0
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A → C1 → A → D → C2 【C2成交】,1,0.0
A → C1 → B → C2 → C1 → A 【A成交】,1,0.0
C2 → A → C1 → B → C1 【C1成交】,1,0.0
A → B → A → B → A → B → C1 → A 【C1成交】,1,0.0
A → B → A → B → A → B → C1 → A 【B成交】,1,0.0
A → C1 → B → E → C1 【C1成交】,1,0.0
B → A → B → D → A → D 【D成交】,1,0.0
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A 【A成交】,1,0.0
A → B → A 【B成交】,1,0.0
A → B → E 【E成交】,1,0.0
E → C1 → C2 → C1 → B → A 【A成交】,1,0.0
C1 → A → C1 → B → C2 → A 【A成交】,1,0.0
C1 → B → C1 → B → A → C1 → A 【A成交】,1,0.0
C1 → B → C1 → B → A → C1 → A → C1 【C1成交】,1,0.0
C1 → B → C1 → B → A → C1 → A → C1 → A 【A成交】,1,0.0
E → A → C2 【C2成交】,1,0.0
E → A → C2 → C1 【C1成交】,1,0.0
C1 → D → A → C1 【C1成交】,1,0.0
C1 → A → B → C1 → B → C1 【C1成交】,1,0.0
B → C1 → B → C1 → B → A → B → C1 【C1成交】,1,0.0
D → B → E → D 【B成交】,1,0.0
D → B → E → D 【E成交】,1,0.0
A → B → C1 → B → D 【D成交】,1,0.0
C1 → A → B → A → D 【D成交】,1,0.0
B → C1 → A → D → A 【A成交】,1,0.0
C1 → D → C1 → A → D → C1 → A 【A成交】,1,0.0
C1 → D → C1 → A → D → C1 → A → B 【B成交】,1,0.0
C1 → D → C1 → A → D → C1 → A → B → C1 → A 【A成交】,1,0.0
B → A → B → A → C1 【C1成交】,1,0.0
B → A → B → A → C1 → A → C2 → C1 → B 【B成交】,1,0.0
C1 → B → A → B → C1 → B 【B成交】,1,0.0
D → A → D → C1 【C1成交】,1,0.0
C1 → C2 → D 【D成交】,1,0.0
C2 → D → A 【A成交】,1,0.0
E → A → C1 → D 【D成交】,1,0.0
B → E → A 【E成交】,1,0.0
B → E → A 【B成交】,1,0.0
C1 → B → A → B → A → C2 → C1 → B → A → C1 → A 【A成交】,1,0.0
C2 → B → C1 → B 【B成交】,1,0.0
C1 → A → D → B → C1 → B → C1 → A 【A成交】,1,0.0
C1 → B → C1 → A → B → A → C1 【C1成交】,1,0.0
C1 → B → C1 → A → B → A → C1 → C2 【C2成交】,1,0.0
E → C1 → C2 → B 【C2成交】,1,0.0
C1 → D → C2 → A 【A成交】,1,0.0
C1 → D → C2 → A → C1 → D 【D成交】,1,0.0
C1 → B → C2 → A → B 【B成交】,1,0.0
C1 → E → C2 【C2成交】,1,0.0
B → C2 → B → A → C2 → B → C1 → B → C1 → B 【B成交】,1,0.0
E → A → C1 → B 【B成交】,1,0.0
A → E → B 【E成交】,1,0.0
A → E → B 【B成交】,1,0.0
C1 → A → E → A → B → C1 → A → C1 【C1成交】,1,0.0
B → C1 → D → C1 → B → A 【A成交】,1,0.0
A → D → C1 → B → C1 → B → D → B → A 【A成交】,1,0.0
A → C2 → C1 → B 【B成交】,1,0.0
D → B 【D成交】,1,0.0
A → B → A → B → C1 【C1成交】,1,0.0
D → E → B → C1 【C1成交】,1,0.0
B → A → C2 → D 【D成交】,1,0.0
E → B → A → D → C1 【C1成交】,1,0.0
